-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/1989 through 12/31/2019 
Location: Latitude  36.7286   Longitude 68.8681 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 575.09 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,PRECTOT,T2M_MAX,T2M_MIN,T2M
36.72861,68.86811,1989,05,11,    0.00,   28.31,   11.79,   20.75
36.72861,68.86811,1989,05,12,    0.01,   30.61,   13.21,   22.74
36.72861,68.86811,1989,05,13,    0.00,   31.92,   15.11,   23.69
36.72861,68.86811,1989,05,14,    0.00,   30.45,   16.36,   23.63
36.72861,68.86811,1989,05,15,    0.90,   29.51,   16.66,   23.13
36.72861,68.86811,1989,05,16,    0.23,   28.06,   15.32,   21.88
36.72861,68.86811,1989,05,17,    1.92,   30.44,   14.90,   23.10
36.72861,68.86811,1989,05,18,    0.10,   31.69,   16.04,   24.21
36.72861,68.86811,1989,05,19,    0.14,   34.25,   15.37,   25.58
36.72861,68.86811,1989,05,20,    0.00,   31.25,   16.80,   24.19
36.72861,68.86811,1989,05,21,    0.06,   30.39,   16.64,   23.55
36.72861,68.86811,1989,05,22,    0.00,   29.55,   17.05,   22.83
36.72861,68.86811,1989,05,23,    0.00,   29.28,   13.58,   22.04
36.72861,68.86811,1989,05,24,    0.00,   31.13,   13.97,   23.42
36.72861,68.86811,1989,05,25,    0.00,   33.16,   14.64,   24.80
36.72861,68.86811,1989,05,26,    0.00,   34.13,   16.22,   26.36
