-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/1989 through 12/31/2019 
Location: Latitude  34.5553   Longitude 69.2075 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 2381.9 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,PRECTOT,T2M_MAX,T2M_MIN,T2M
34.55531,69.20751,1989,06,09,    1.04,   23.47,    9.43,   16.27
34.55531,69.20751,1989,06,10,    1.77,   24.32,    7.49,   15.90
34.55531,69.20751,1989,06,11,    0.05,   27.18,    6.49,   16.97
34.55531,69.20751,1989,06,12,    0.16,   29.11,    9.67,   18.96
34.55531,69.20751,1989,06,13,    0.00,   25.54,   10.16,   17.63
34.55531,69.20751,1989,06,14,    0.00,   23.27,    7.11,   15.11
34.55531,69.20751,1989,06,15,    0.00,   23.22,    7.55,   15.14
34.55531,69.20751,1989,06,16,    0.00,   23.73,    5.29,   14.74
34.55531,69.20751,1989,06,17,    0.00,   25.14,    5.47,   15.68
34.55531,69.20751,1989,06,18,    0.00,   25.42,    7.06,   16.26
34.55531,69.20751,1989,06,19,    0.00,   25.09,    7.25,   15.84
34.55531,69.20751,1989,06,20,    0.09,   25.00,    5.62,   15.43
34.55531,69.20751,1989,06,21,    0.27,   25.82,    6.73,   16.40
34.55531,69.20751,1989,06,22,    0.02,   27.46,    7.44,   17.62
34.55531,69.20751,1989,06,23,    0.00,   28.58,    8.36,   18.76
34.55531,69.20751,1989,06,24,    0.00,   29.26,    8.73,   19.07
34.55531,69.20751,1989,06,25,    0.00,   28.63,    8.98,   19.00
34.55531,69.20751,1989,06,26,    0.00,   28.57,   10.86,   19.91
34.55531,69.20751,1989,06,27,    0.00,   28.37,   11.93,   20.06
34.55531,69.20751,1989,06,28,    0.00,   28.59,   10.05,   19.51
34.55531,69.20751,1989,06,29,    0.00,   28.41,   10.89,   19.42
34.55531,69.20751,1989,06,30,    0.00,   26.63,   10.61,   18.31
34.55531,69.20751,1989,07,01,    0.00,   26.19,    8.68,   17.56
34.55531,69.20751,1989,07,02,    0.36,   25.61,    8.57,   17.09
34.55531,69.20751,1989,07,03,    2.59,   25.77,    8.36,   17.08
34.55531,69.20751,1989,07,04,    0.13,   24.67,    8.36,   16.43
34.55531,69.20751,1989,07,05,    7.24,   24.75,    8.66,   16.99
34.55531,69.20751,1989,07,06,   16.75,   26.18,   10.40,   18.16
34.55531,69.20751,1989,07,07,    0.03,   28.21,   13.02,   20.48
34.55531,69.20751,1989,07,08,    0.00,   29.58,   11.40,   20.35
34.55531,69.20751,1989,07,09,    0.00,   29.86,   10.81,   20.43
34.55531,69.20751,1989,07,10,    0.00,   29.99,   12.33,   21.19
34.55531,69.20751,1989,07,11,    0.00,   30.06,   13.18,   21.60
34.55531,69.20751,1989,07,12,    0.00,   29.84,   14.32,   21.64
34.55531,69.20751,1989,07,13,    0.00,   28.76,   11.95,   19.72
34.55531,69.20751,1989,07,14,    0.00,   27.68,    9.02,   18.05
34.55531,69.20751,1989,07,15,    0.81,   27.50,    8.57,   18.06
34.55531,69.20751,1989,07,16,   10.85,   25.89,   10.93,   18.70
34.55531,69.20751,1989,07,17,    0.11,   27.80,   13.22,   20.22
34.55531,69.20751,1989,07,18,    0.87,   27.04,   12.01,   19.52
34.55531,69.20751,1989,07,19,    0.05,   26.40,   10.26,   18.21
34.55531,69.20751,1989,07,20,    0.01,   26.50,   10.07,   18.25
34.55531,69.20751,1989,07,21,    0.16,   27.26,    9.73,   18.59
34.55531,69.20751,1989,07,22,    0.00,   27.85,   10.04,   18.92
34.55531,69.20751,1989,07,23,    0.00,   26.45,   10.38,   18.33
34.55531,69.20751,1989,07,24,    0.10,   25.60,   10.04,   18.00
34.55531,69.20751,1989,07,25,    0.27,   23.24,   12.74,   17.91
34.55531,69.20751,1989,07,26,    0.00,   28.35,   12.79,   20.55
34.55531,69.20751,1989,07,27,    0.00,   30.75,   13.52,   21.48
34.55531,69.20751,1989,07,28,    0.00,   30.90,   14.25,   22.14
34.55531,69.20751,1989,07,29,    0.00,   29.44,   13.50,   21.03
34.55531,69.20751,1989,07,30,    0.31,   28.28,   13.20,   20.07
34.55531,69.20751,1989,07,31,    0.41,   25.97,   10.49,   17.89
34.55531,69.20751,1989,08,01,    0.01,   27.31,    8.65,   17.99
34.55531,69.20751,1989,08,02,    0.00,   27.82,   11.07,   19.29
34.55531,69.20751,1989,08,03,    0.22,   28.47,   12.16,   20.13
34.55531,69.20751,1989,08,04,    0.00,   27.73,   11.73,   19.22
34.55531,69.20751,1989,08,05,    0.00,   27.31,    9.07,   18.10
34.55531,69.20751,1989,08,06,    0.01,   28.52,    8.88,   18.72
34.55531,69.20751,1989,08,07,    0.00,   28.72,    9.93,   18.93
34.55531,69.20751,1989,08,08,    0.00,   28.50,    9.07,   18.79
34.55531,69.20751,1989,08,09,    0.00,   28.20,    9.22,   18.59
34.55531,69.20751,1989,08,10,    0.43,   29.37,    8.29,   18.75
34.55531,69.20751,1989,08,11,    0.00,   30.22,   10.11,   20.19
34.55531,69.20751,1989,08,12,    0.00,   29.52,   11.19,   20.37
34.55531,69.20751,1989,08,13,    0.81,   28.66,   11.02,   19.61
34.55531,69.20751,1989,08,14,    1.23,   28.36,   10.22,   19.10
34.55531,69.20751,1989,08,15,    0.00,   27.12,   10.03,   18.25
34.55531,69.20751,1989,08,16,    0.00,   28.76,    8.41,   18.36
34.55531,69.20751,1989,08,17,    0.00,   29.58,    8.95,   18.97
34.55531,69.20751,1989,08,18,    0.00,   29.60,    9.65,   19.20
34.55531,69.20751,1989,08,19,    0.00,   27.59,    9.76,   18.05
34.55531,69.20751,1989,08,20,    0.00,   26.30,    9.95,   17.16
34.55531,69.20751,1989,08,21,    0.00,   29.65,    9.18,   19.14
